heat#, car1#, pos, time, car2#, pos, time, car3#, pos, time, car4#, pos, time, timestamp
1, 20, 4, 3.415,21, 3, 3.359,23, 1, 3.165,25, 2, 3.311,13:54:34
2, 26, 1, 3.231,27, 2, 3.257,25, 3, 3.407,23, 4, 3.414,13:54:51
3, 21, 1, 3.285,26, 4, 9.999,20, 2, 3.418,27, 3, 3.478,13:55:08
4, 23, 4, 4.592,25, 3, 3.524,26, 1, 3.160,21, 2, 3.268,13:55:25
5, 27, 3, 3.724,20, 1, 3.369,21, 4, 3.883,26, 2, 3.415,13:55:42
6, 25, 4, 9.999,23, 3, 3.566,27, 1, 3.267,20, 1, 3.267,13:55:59
