heat#, car1#, pos, time, car2#, pos, time, car3#, pos, time, car4#, pos, time, timestamp
1, 20, 3, 3.601,21, 4, 4.538,23, 2, 3.343,25, 1, 3.237,17:36:29
2, 26, 3, 9.999,27, 3, 9.999,21, 1, 4.149,20, 2, 4.657,17:36:43
3, 27, 1, 0.000,26, 1, 0.000,25, 1, 0.000,23, 1, 0.000,17:36:43
4, 21, 3, 3.219,20, 2, 3.195,26, 4, 3.230,27, 1, 3.193,17:37:02
5, 23, 4, 3.415,25, 3, 3.359,20, 1, 3.165,21, 2, 3.311,17:37:19
6, 25, -, -,23, -, -,27, -, -,26, -, -,-
