heat#, car1#, pos, time, car2#, pos, time, car3#, pos, time, car4#, pos, time, timestamp
1, 20, 4, 9.999,21, 3, 4.371,23, 1, 3.174,25, 2, 3.190,18:48:54
2, 26, 4, 4.155,27, 3, 3.728,21, 1, 3.278,20, 2, 3.703,18:49:05
3, 25, 3, 3.386,26, 4, 4.606,27, 2, 3.376,23, 1, 3.314,18:49:16
4, 27, -, -,25, -, -,20, -, -,21, -, -,-
5, 23, -, -,20, -, -,26, -, -,27, -, -,-
6, 21, -, -,23, -, -,25, -, -,26, -, -,-
