heat#, car1#, pos, time, car2#, pos, time, car3#, pos, time, car4#, pos, time, timestamp
1, 20, 4, 3.415,21, 3, 3.359,23, 1, 3.165,25, 2, 3.311,13:54:34
2, 26, -, -,27, -, -,25, -, -,23, -, -,-
3, 21, -, -,26, -, -,20, -, -,27, -, -,-
4, 23, -, -,25, -, -,26, -, -,21, -, -,-
5, 27, -, -,20, -, -,21, -, -,26, -, -,-
6, 25, -, -,23, -, -,27, -, -,20, -, -,-
