heat#, car1#, pos, time, car2#, pos, time, car3#, pos, time, car4#, pos, time, timestamp
1, 20, 4, 3.415,21, 3, 3.359,23, 1, 3.165,25, 2, 3.311,13:54:34
2, 26, 1, 3.231,27, 2, 3.257,25, 3, 3.407,23, 4, 3.414,13:54:51
3, 21, 1, 3.285,26, 4, 9.999,20, 2, 3.418,27, 3, 3.478,13:55:08
4, 23, -, -,25, -, -,26, -, -,21, -, -,-
5, 27, -, -,20, -, -,21, -, -,26, -, -,-
6, 25, -, -,23, -, -,27, -, -,20, -, -,-
