heat#, car1#, pos, time, car2#, pos, time, car3#, pos, time, car4#, pos, time, timestamp
1, 20, 3, 3.601,21, 4, 4.538,23, 2, 3.343,25, 1, 3.237,17:36:29
2, 26, -, -,27, -, -,21, -, -,20, -, -,-
3, 27, -, -,26, -, -,25, -, -,23, -, -,-
4, 21, -, -,20, -, -,26, -, -,27, -, -,-
5, 23, -, -,25, -, -,20, -, -,21, -, -,-
6, 25, -, -,23, -, -,27, -, -,26, -, -,-
